"datetime"	"gprmc_latitude"	"gprmc_longitude"	"sbe37o_temp"	"sbe16pls_salinity"	"pco2cv_CO2"	"sbe37o_oxy"
"2017-01-23T12:47:20"	45.697945	13.708318	NA	NA	NA	NA
"2017-01-23T12:58:08"	NA	NA	8.8824	NA	NA	5.269
"2017-01-23T13:02:04"	45.69794	13.708303	NA	NA	NA	NA
"2017-01-23T13:07:05"	NA	NA	NA	38.373	NA	NA
"2017-01-23T13:32:12"	45.697982	13.70837	NA	NA	NA	NA
"2017-01-23T13:58:08"	NA	NA	8.9132	NA	NA	5.248
"2017-01-23T14:02:08"	45.69798	13.708342	NA	NA	NA	NA
"2017-01-23T14:08:11"	NA	NA	NA	38.3835	NA	NA
"2017-01-23T14:32:08"	45.697905	13.708352	NA	NA	NA	NA
"2017-01-23T14:58:08"	NA	NA	8.897	NA	NA	5.255
"2017-01-23T15:02:08"	45.69794	13.708337	NA	NA	NA	NA
"2017-01-23T15:08:11"	NA	NA	NA	38.3616	NA	NA
"2017-01-23T15:32:05"	45.69791	13.708367	NA	NA	NA	NA
"2017-01-23T15:58:08"	NA	NA	9.0401	NA	NA	5.234
"2017-01-23T16:02:13"	45.697945	13.708378	NA	NA	NA	NA
"2017-01-23T16:08:11"	NA	NA	NA	38.3568	NA	NA
"2017-01-23T16:32:08"	45.697955	13.70836	NA	NA	NA	NA
"2017-01-23T16:58:08"	NA	NA	9.0709	NA	NA	5.243
"2017-01-23T17:02:08"	45.698032	13.708023	NA	NA	NA	NA
"2017-01-23T17:08:11"	NA	NA	NA	38.3905	NA	NA
"2017-01-23T17:32:08"	45.697868	13.708363	NA	NA	NA	NA
"2017-01-23T17:58:08"	NA	NA	9.069	NA	NA	5.239
"2017-01-23T18:02:04"	45.697845	13.708425	NA	NA	NA	NA
"2017-01-23T18:08:11"	NA	NA	NA	38.3864	NA	NA
"2017-01-23T18:32:12"	45.697907	13.708395	NA	NA	NA	NA
"2017-01-23T18:58:08"	NA	NA	9.0716	NA	NA	5.215
"2017-01-23T19:02:08"	45.69786	13.708397	NA	NA	NA	NA
"2017-01-23T19:08:10"	NA	NA	NA	38.3958	NA	NA
"2017-01-23T19:32:09"	45.697808	13.708368	NA	NA	NA	NA
"2017-01-23T19:58:08"	NA	NA	9.0488	NA	NA	5.246
"2017-01-23T20:02:08"	45.697887	13.708333	NA	NA	NA	NA
"2017-01-23T20:08:11"	NA	NA	NA	38.3854	NA	NA
"2017-01-23T20:32:04"	45.69789	13.708418	NA	NA	NA	NA
"2017-01-23T20:58:08"	NA	NA	9.0047	NA	NA	5.24
"2017-01-23T21:02:12"	45.697947	13.70838	NA	NA	NA	NA
"2017-01-23T21:08:11"	NA	NA	NA	38.392	NA	NA
"2017-01-23T21:32:08"	45.697877	13.708355	NA	NA	NA	NA
"2017-01-23T21:58:08"	NA	NA	8.9565	NA	NA	5.238
"2017-01-23T22:02:08"	45.697865	13.708355	NA	NA	NA	NA
"2017-01-23T22:08:11"	NA	NA	NA	38.3833	NA	NA
"2017-01-23T22:32:09"	45.697845	13.708293	NA	NA	NA	NA
"2017-01-23T22:58:08"	NA	NA	8.9078	NA	NA	5.223
"2017-01-23T23:02:04"	45.697957	13.70858	NA	NA	NA	NA
"2017-01-23T23:08:10"	NA	NA	NA	38.3879	NA	NA
"2017-01-23T23:32:12"	45.69788	13.708332	NA	NA	NA	NA
"2017-01-23T23:58:08"	NA	NA	8.8636	NA	NA	5.237
"2017-01-24T00:02:08"	45.697918	13.708373	NA	NA	NA	NA
"2017-01-24T00:08:11"	NA	NA	NA	38.3898	NA	NA
"2017-01-24T00:32:08"	45.69786	13.708362	NA	NA	NA	NA
"2017-01-24T00:58:08"	NA	NA	8.8819	NA	NA	5.236
"2017-01-24T01:02:08"	45.697827	13.708223	NA	NA	NA	NA
