sample_site_code	sample_year	sample_month	sample_day	sample_hour	sample_minute	sample_seconds	analysis_value
CPT	2010	2	11	8	53	0	385.28
CPT	2010	2	11	8	53	0	385.31
CPT	2010	2	18	8	57	0	384.71
CPT	2010	2	18	8	57	0	384.6
CPT	2010	2	22	9	1	0	385.17
CPT	2010	2	22	9	1	0	385.17
CPT	2010	2	25	10	11	0	385.29
CPT	2010	2	25	10	11	0	385.27
CPT	2010	3	10	9	50	0	385.02
CPT	2010	3	15	10	47	0	384.31
CPT	2010	3	15	10	47	0	384.29
CPT	2010	3	18	10	6	0	385.02
CPT	2010	3	18	10	6	0	385.2
CPT	2010	3	29	10	15	0	385.43
CPT	2010	3	29	10	15	0	385.44
CPT	2010	4	1	8	17	0	385.95
CPT	2010	4	1	8	17	0	385.91
CPT	2010	4	6	9	5	0	384.98
CPT	2010	4	6	9	5	0	385.06
CPT	2010	4	15	10	59	0	384.29
CPT	2010	4	15	10	59	0	384.33
CPT	2010	4	28	10	2	0	385.18
CPT	2010	4	28	10	2	0	385.16
CPT	2010	5	7	8	30	0	385.13
CPT	2010	5	7	8	30	0	385.19
CPT	2010	5	24	11	13	0	385.49
CPT	2010	5	24	11	13	0	385.29
CPT	2010	5	31	8	14	0	386.09
CPT	2010	5	31	8	14	0	386.39
CPT	2010	6	10	9	22	0	387
CPT	2010	6	10	9	22	0	386.92
CPT	2010	6	14	9	47	0	385.99
CPT	2010	6	14	9	47	0	386.01
CPT	2010	6	25	9	6	0	386.59
CPT	2010	6	25	9	6	0	386.67
CPT	2010	7	1	6	35	0	387.69
CPT	2010	7	1	6	35	0	387.48
CPT	2010	7	6	7	40	0	386.43
CPT	2010	7	6	7	40	0	386.41
CPT	2010	7	15	11	28	0	386.77
CPT	2010	7	15	11	28	0	386.72
CPT	2010	7	29	8	50	0	387.24
CPT	2010	7	29	8	50	0	387.26
CPT	2010	8	10	8	52	0	388.62
CPT	2010	8	10	8	52	0	388.53
CPT	2010	8	16	9	12	0	388.69
CPT	2010	8	16	9	12	0	388.52
CPT	2010	8	23	8	38	0	387.33
CPT	2010	8	23	8	38	0	387.27
CPT	2010	9	2	10	57	0	387.76
CPT	2010	9	2	10	57	0	387.73
CPT	2010	9	6	8	35	0	386.81
CPT	2010	9	6	8	35	0	386.84
CPT	2010	9	16	8	54	0	387.04
CPT	2010	9	16	8	54	0	387.08
CPT	2010	9	23	8	39	0	390.16
CPT	2010	9	23	8	39	0	387.26
CPT	2010	9	30	9	10	0	387.07
CPT	2010	9	30	9	10	0	387.16
CPT	2010	10	4	9	1	0	387.74
CPT	2010	10	4	9	1	0	387.72
CPT	2010	10	18	11	4	0	386.81
CPT	2010	10	18	11	4	0	386.74
CPT	2010	10	25	8	30	0	387.9
CPT	2010	10	25	8	30	0	387.86
CPT	2010	11	1	8	32	0	388.01
CPT	2010	11	1	8	32	0	387.67
CPT	2010	11	8	9	32	0	387.51
CPT	2010	11	8	9	32	0	387.51
CPT	2010	11	15	9	0	0	386.25
CPT	2010	11	15	9	0	0	386.36
CPT	2010	11	22	8	59	0	387.94
CPT	2010	11	22	8	59	0	387.77
CPT	2010	11	30	9	1	0	387.13
CPT	2010	11	30	9	1	0	387.1
CPT	2010	12	2	8	59	0	386.9
CPT	2010	12	2	8	59	0	386.89
CPT	2010	12	6	8	59	0	387.26
CPT	2010	12	6	8	59	0	387.29
CPT	2010	12	13	9	37	0	387.02
CPT	2010	12	13	9	37	0	387.13
CPT	2010	12	27	5	5	0	387.09
CPT	2010	12	27	5	5	0	387.12
CPT	2011	1	10	9	0	0	387.87
CPT	2011	1	10	9	0	0	387.21
CPT	2011	1	17	8	56	0	388.19
CPT	2011	1	17	9	31	0	387.4
CPT	2011	1	17	9	31	0	387.35
CPT	2011	1	24	9	29	0	386.65
CPT	2011	1	24	9	29	0	386.66
CPT	2011	1	31	8	30	0	387.32
CPT	2011	1	31	8	30	0	387.37
CPT	2011	2	14	9	2	0	388.9
CPT	2011	2	14	9	2	0	389.02
CPT	2011	2	21	8	30	0	387.35
CPT	2011	2	21	8	30	0	387.23
CPT	2011	2	28	8	32	0	387.9
CPT	2011	2	28	8	32	0	387.8
CPT	2011	3	14	8	30	0	387.31
CPT	2011	3	14	8	30	0	387.2
CPT	2011	3	17	8	35	0	388.1
CPT	2011	3	17	8	35	0	387.93
CPT	2011	3	24	12	0	0	386.87
CPT	2011	3	24	12	0	0	387.04
CPT	2011	4	26	8	43	0	388.23
CPT	2011	4	26	8	43	0	387.71
CPT	2011	4	26	8	53	0	387.38
CPT	2011	4	26	8	53	0	387.32
CPT	2011	4	29	9	0	0	388.53
CPT	2011	4	29	9	0	0	388.48
CPT	2011	4	29	11	32	0	388.07
CPT	2011	4	29	11	32	0	388.11
CPT	2011	5	3	12	34	56	394.1
CPT	2011	5	3	12	34	56	393.99
CPT	2011	5	9	10	57	0	391.89
CPT	2011	5	9	10	57	0	392.09
CPT	2011	5	19	8	33	0	388.51
CPT	2011	5	19	8	33	0	388.4
CPT	2011	5	23	9	31	0	387.18
CPT	2011	5	23	9	31	0	387.34
CPT	2011	6	9	9	17	0	388.25
CPT	2011	6	9	9	17	0	388.29
CPT	2011	6	16	8	5	0	387.38
CPT	2011	6	16	8	5	0	387.37
CPT	2011	6	23	9	28	0	388.22
CPT	2011	6	23	9	28	0	387.91
CPT	2011	6	27	9	1	0	388.97
CPT	2011	6	27	9	1	0	389.97
CPT	2011	7	4	9	0	0	389.22
CPT	2011	7	4	9	0	0	389.43
CPT	2011	7	22	8	17	0	388.95
CPT	2011	7	22	8	17	0	389
CPT	2011	7	28	9	0	0	419.21
CPT	2011	7	28	9	0	0	419.68
CPT	2011	8	1	9	33	0	392.44
CPT	2011	8	1	9	33	0	392.52
CPT	2011	8	8	8	35	0	450.67
CPT	2011	8	8	8	35	0	450.57
CPT	2011	8	25	9	0	0	388.46
CPT	2011	8	25	9	0	0	388.78
CPT	2011	9	3	9	1	0	388.68
CPT	2011	9	3	9	1	0	388.78
CPT	2011	9	15	8	30	0	389.82
CPT	2011	9	15	8	30	0	389.66
CPT	2011	9	19	9	10	0	389.23
CPT	2011	9	19	9	10	0	389.19
CPT	2011	9	26	9	47	0	389.75
CPT	2011	10	10	10	4	0	389.51
CPT	2011	10	10	10	4	0	389.82
CPT	2011	10	20	8	31	0	389.16
CPT	2011	10	20	8	31	0	389.13
CPT	2011	10	24	9	0	0	389
CPT	2011	10	24	9	0	0	389.01
CPT	2011	10	31	9	13	0	389.03
CPT	2011	10	31	9	13	0	389.05
CPT	2011	11	10	10	37	0	391.29
CPT	2011	11	10	10	37	0	391.28
CPT	2011	11	21	12	1	0	389.98
CPT	2011	11	21	12	1	0	390.09
CPT	2011	11	28	10	11	0	390.79
CPT	2011	11	28	10	11	0	390.53
CPT	2011	12	8	10	45	0	391.24
