sample_site_code	sample_year	sample_month	sample_day	sample_hour	sample_minute	sample_seconds	analysis_value
HBA	1983	1	17	18	30	0	353.38
HBA	1983	1	17	18	30	0	339.89
HBA	1983	1	24	16	30	0	-999.99
HBA	1983	1	24	16	30	0	-999.99
HBA	1983	1	31	18	0	0	340.11
HBA	1983	1	31	18	0	0	-999.99
HBA	1983	2	7	17	30	0	340.36
HBA	1983	2	7	17	30	0	340.15
HBA	1983	2	14	18	0	0	340.27
HBA	1983	2	14	18	0	0	340.16
HBA	1983	2	21	16	30	0	339.83
HBA	1983	2	21	16	30	0	339.84
HBA	1983	2	28	16	30	0	348.86
HBA	1983	2	28	16	30	0	342.71
HBA	1983	3	7	17	30	0	340.08
HBA	1983	3	7	17	30	0	340.27
HBA	1983	3	14	17	30	0	340.49
HBA	1983	3	14	17	30	0	341.36
HBA	1983	3	21	17	30	0	339.97
HBA	1983	3	21	17	30	0	340.42
HBA	1983	3	28	17	30	0	340.1
HBA	1983	3	28	17	30	0	340.24
HBA	1983	4	4	18	30	0	-999.99
HBA	1983	4	4	18	30	0	340.88
HBA	1983	4	11	17	30	0	340.64
HBA	1983	4	11	17	30	0	340.4
HBA	1983	4	18	19	0	0	341.24
HBA	1983	4	18	19	0	0	352.92
HBA	1983	4	25	18	30	0	340.27
HBA	1983	4	25	18	30	0	340.38
HBA	1983	5	2	17	30	0	341.01
HBA	1983	5	2	17	30	0	340.77
HBA	1983	5	9	19	30	0	345.83
HBA	1983	5	9	19	30	0	349.14
HBA	1983	5	16	20	0	0	341.38
HBA	1983	5	16	20	0	0	341.19
HBA	1983	5	23	19	30	0	343.5
HBA	1983	5	23	19	30	0	343.69
HBA	1983	5	30	19	0	0	341.32
HBA	1983	5	30	19	0	0	342.01
HBA	1983	6	6	19	0	0	347.46
HBA	1983	6	6	19	0	0	351.34
HBA	1983	6	13	19	0	0	341.35
HBA	1983	6	13	19	0	0	341.63
HBA	1983	6	20	18	30	0	342.72
HBA	1983	6	20	18	30	0	342.22
HBA	1983	6	27	19	0	0	342.67
HBA	1983	6	27	19	0	0	342.53
HBA	1983	7	4	19	0	0	342.24
HBA	1983	7	4	19	0	0	342.19
HBA	1983	7	11	19	0	0	345.38
HBA	1983	7	11	19	0	0	344.01
HBA	1983	7	18	19	0	0	341.49
HBA	1983	7	18	19	0	0	341.86
HBA	1983	7	25	19	30	0	-999.99
HBA	1983	9	5	19	0	0	342.96
HBA	1983	9	5	19	0	0	342.81
HBA	1983	9	12	19	0	0	351.56
HBA	1983	9	12	19	0	0	343.34
HBA	1983	9	19	19	0	0	355.42
HBA	1983	9	19	19	0	0	342.06
HBA	1983	9	26	19	30	0	342.18
HBA	1983	9	26	19	30	0	342.23
HBA	1983	10	3	19	30	0	342.74
HBA	1983	10	3	19	30	0	343.17
HBA	1983	10	10	19	0	0	344.82
HBA	1983	10	10	19	0	0	344.56
HBA	1983	10	17	18	30	0	342.62
HBA	1983	10	17	18	30	0	345.91
HBA	1983	10	24	19	30	0	342.18
HBA	1983	10	24	19	30	0	342.22
HBA	1983	10	31	22	0	0	342.07
HBA	1983	10	31	22	0	0	342.02
HBA	1983	11	7	19	30	0	342.53
HBA	1983	11	7	19	30	0	342.58
HBA	1983	11	14	19	0	0	342.75
HBA	1983	11	14	19	0	0	342.69
HBA	1983	11	21	19	30	0	342.52
HBA	1983	11	21	19	30	0	342.53
HBA	1983	11	28	19	30	0	342.22
HBA	1983	11	28	19	30	0	342.26
HBA	1983	12	5	19	30	0	342.14
HBA	1983	12	5	19	30	0	342.29
HBA	1983	12	12	19	0	0	343.11
HBA	1983	12	12	19	0	0	343.17
HBA	1983	12	19	19	30	0	342.4
HBA	1983	12	19	19	30	0	351.9
HBA	1983	12	26	19	30	0	342.86
HBA	1983	12	26	19	30	0	343.29
HBA	1984	1	2	20	0	0	346.5
HBA	1984	1	2	20	0	0	342.09
HBA	1984	1	9	19	30	0	341.94
HBA	1984	1	9	19	30	0	342.03
HBA	1984	1	16	19	30	0	343.48
HBA	1984	1	16	19	30	0	343.52
HBA	1984	1	23	19	30	0	342.2
HBA	1984	1	23	19	30	0	341.92
HBA	1984	1	30	19	30	0	341.31
HBA	1984	1	30	19	30	0	341.28
HBA	1984	2	6	19	0	0	342.03
HBA	1984	2	6	19	0	0	342.12
HBA	1984	2	13	19	30	0	-999.99
HBA	1984	2	13	19	30	0	-999.99
