sample_site_code sample_year sample_month sample_day sample_hour sample_minute sample_seconds analysis_value
PAL 2001 12 21 9 57 0 377.27
PAL 2001 12 21 9 57 0 377.24
PAL 2001 12 27 11 6 0 378.35
PAL 2001 12 27 11 6 0 378.24
PAL 2002 1 4 11 17 0 378.16
PAL 2002 1 4 11 17 0 378.14
PAL 2002 1 14 13 4 0 376.43
PAL 2002 1 14 13 4 0 376.36
PAL 2002 1 18 10 37 0 377.63
PAL 2002 1 18 10 37 0 377.64
PAL 2002 1 25 12 42 0 379.93
PAL 2002 1 25 12 42 0 379.91
PAL 2002 2 15 9 29 0 377.57
PAL 2002 2 15 9 29 0 377.52
PAL 2002 2 22 10 24 0 379.97
PAL 2002 2 22 10 24 0 379.99
PAL 2002 3 1 8 35 0 379.66
PAL 2002 3 1 8 35 0 379.64
PAL 2002 3 8 8 28 0 380.01
PAL 2002 3 8 8 28 0 379.96
PAL 2002 3 15 10 27 0 378
PAL 2002 3 22 7 36 0 378.79
PAL 2002 3 22 7 36 0 378.71
PAL 2002 3 28 8 20 0 379.92
PAL 2002 3 28 8 20 0 379.93
PAL 2002 4 5 9 6 0 381.9
PAL 2002 4 5 9 6 0 381.94
PAL 2002 4 15 9 47 0 378.49
PAL 2002 4 15 9 47 0 378.53
PAL 2002 4 19 7 22 0 379.97
PAL 2002 4 19 7 22 0 380.02
PAL 2002 4 26 6 17 0 378.21
PAL 2002 4 26 6 17 0 378.15
PAL 2002 5 3 10 25 0 378.45
PAL 2002 5 3 10 25 0 378.43
PAL 2002 5 17 5 23 0 377.42
PAL 2002 5 17 5 23 0 377.44
PAL 2002 5 24 11 39 0 378.42
PAL 2002 5 24 11 39 0 378.26
PAL 2002 5 31 15 37 0 373.13
PAL 2002 5 31 15 37 0 373.12
PAL 2002 6 7 7 55 0 370.99
PAL 2002 6 7 7 55 0 371.11
PAL 2002 6 17 10 34 0 371.85
PAL 2002 6 17 10 34 0 371.56
PAL 2002 6 20 9 54 0 369.75
PAL 2002 6 20 9 54 0 369.92
PAL 2002 7 9 12 57 0 361.88
PAL 2002 7 9 12 57 0 361.79
PAL 2002 7 12 7 0 0 371.13
PAL 2002 7 12 7 0 0 371.12
PAL 2002 7 26 11 9 0 363.98
PAL 2002 7 26 11 9 0 364
PAL 2002 8 2 7 30 0 365.22
PAL 2002 8 2 7 30 0 365.45
PAL 2002 8 9 10 30 0 362.71
PAL 2002 8 23 5 56 0 374.38
PAL 2002 8 23 5 56 0 374.02
PAL 2002 8 30 10 8 0 372.67
PAL 2002 8 30 10 8 0 372.56
PAL 2002 9 6 10 0 0 372.86
PAL 2002 9 6 10 0 0 372.75
PAL 2002 9 13 8 13 0 372.54
PAL 2002 9 13 8 13 0 372.63
PAL 2002 11 4 12 18 0 373.69
PAL 2002 11 4 12 18 0 373.64
PAL 2002 11 8 11 26 0 374.47
PAL 2002 11 8 11 26 0 374.51
PAL 2002 11 15 7 22 0 378.56
PAL 2002 11 15 7 22 0 378.63
PAL 2002 12 5 9 28 0 382.23
PAL 2002 12 5 9 28 0 382.14
PAL 2002 12 13 11 53 0 377.92
PAL 2002 12 13 11 53 0 377.98
PAL 2003 1 24 8 14 0 379.42
PAL 2003 1 24 8 14 0 379.26
PAL 2003 1 31 10 35 0 380.85
PAL 2003 1 31 10 35 0 380.87
PAL 2003 2 7 10 38 0 387.34
PAL 2003 2 7 10 38 0 387.41
PAL 2003 2 14 10 32 0 379.49
PAL 2003 2 14 10 32 0 379.4
PAL 2003 3 21 11 15 0 384.35
PAL 2003 3 21 11 15 0 384.32
PAL 2003 5 19 8 36 0 377.49
PAL 2003 5 19 8 36 0 377.41
PAL 2003 5 23 7 20 0 378.76
PAL 2003 5 23 7 20 0 378.74
PAL 2003 5 30 4 4 0 380.49
PAL 2003 5 30 4 4 0 380.54
PAL 2003 6 6 6 47 0 375.13
PAL 2003 6 6 6 47 0 375.11
PAL 2003 8 11 9 8 0 363.6
PAL 2003 8 11 9 8 0 363.43
PAL 2003 8 22 6 8 0 368.67
PAL 2003 8 22 6 8 0 368.68
PAL 2003 8 29 8 0 0 365.91
PAL 2003 8 29 8 0 0 365.85
PAL 2003 9 5 9 0 0 366.29
PAL 2003 9 5 9 0 0 366.28
PAL 2003 9 12 10 30 0 370.7
PAL 2003 9 12 10 30 0 370.93
PAL 2003 9 26 10 45 0 371.59
PAL 2003 9 26 10 45 0 371.59
PAL 2003 11 21 7 50 0 388.55
PAL 2003 11 21 7 50 0 388.51
PAL 2003 11 28 5 30 0 389.6
PAL 2003 11 28 5 30 0 389.66
PAL 2003 12 4 9 15 0 382.79
PAL 2003 12 4 9 15 0 382.74
PAL 2003 12 12 11 33 0 380.52
PAL 2003 12 12 11 33 0 380.41
PAL 2003 12 19 7 11 0 384.63
PAL 2003 12 19 7 11 0 384.65
PAL 2004 1 9 8 42 0 388.65
PAL 2004 1 9 8 42 0 388.44
PAL 2004 1 16 10 46 0 392.3
PAL 2004 1 16 10 46 0 392.41
PAL 2004 1 23 7 43 0 384.68
PAL 2004 1 23 7 43 0 384.62
PAL 2004 1 30 10 24 0 392.91
PAL 2004 1 30 10 24 0 392.75
PAL 2004 2 6 7 40 0 386.3
PAL 2004 2 6 7 40 0 386.28
PAL 2004 2 12 13 16 0 383.02
PAL 2004 2 12 13 16 0 382.45
PAL 2004 2 20 8 20 0 380.8
PAL 2004 2 20 8 20 0 380.9
PAL 2004 2 27 7 17 0 387.95
PAL 2004 2 27 7 17 0 387.94
PAL 2004 3 19 9 10 0 388.28
PAL 2004 3 19 9 10 0 388.34
PAL 2004 3 26 9 23 0 386.54
PAL 2004 3 26 9 23 0 386.5
PAL 2004 4 8 7 31 0 389.17
PAL 2004 4 8 7 31 0 389.11
PAL 2004 4 16 7 35 0 385.69
PAL 2004 4 16 7 35 0 385.79
PAL 2004 4 23 7 36 0 385.74
PAL 2004 4 23 7 36 0 385.6
PAL 2004 5 7 4 40 0 379.25
PAL 2004 5 7 4 40 0 379.17
PAL 2004 5 14 8 21 0 383.29
PAL 2004 5 14 8 21 0 383.36
PAL 2004 5 21 6 51 0 381.74
PAL 2004 5 21 6 51 0 381.72
PAL 2004 5 28 9 30 0 379.97
PAL 2004 5 28 9 30 0 379.99
PAL 2004 6 4 9 45 0 380.59
PAL 2004 6 4 9 45 0 382.31
PAL 2004 6 11 7 10 0 379.47
PAL 2004 6 11 7 10 0 379.51
PAL 2004 6 18 6 25 0 380.34
PAL 2004 6 18 6 25 0 380.34
PAL 2004 6 24 8 0 0 374.26
PAL 2004 6 24 8 0 0 374.35
PAL 2004 7 2 12 28 0 369.76
PAL 2004 7 2 12 28 0 369.73
PAL 2004 7 9 9 36 0 373.96
PAL 2004 7 9 9 36 0 373.91
PAL 2004 7 16 12 22 0 367.05
PAL 2004 7 16 12 22 0 366.8
PAL 2004 7 23 9 33 0 365.9
PAL 2004 7 23 9 33 0 365.92
PAL 2004 7 30 9 25 0 363.27
PAL 2004 7 30 9 25 0 363.16
PAL 2004 8 6 5 55 0 372.37
PAL 2004 8 6 5 55 0 372.39
PAL 2004 8 13 7 21 0 367.8
PAL 2004 8 13 7 21 0 367.66
PAL 2004 8 20 7 21 0 368.57
PAL 2004 8 20 7 21 0 368.56
PAL 2004 8 27 7 31 0 365.24
PAL 2004 8 27 7 31 0 365.2
PAL 2004 9 3 6 53 0 390.83
PAL 2004 9 24 10 50 0 377.67
PAL 2004 9 24 10 50 0 377.47
PAL 2004 10 1 7 32 0 372.05
PAL 2004 10 1 7 32 0 372.19
PAL 2004 10 8 9 50 0 375.47
PAL 2004 10 8 9 50 0 375.55
PAL 2004 10 15 9 0 0 374.33
PAL 2004 10 15 9 0 0 374.37
PAL 2004 10 22 8 50 0 384.2
PAL 2004 10 22 8 50 0 384.21
PAL 2004 10 29 8 55 0 376.92
PAL 2004 10 29 8 55 0 376.79
PAL 2004 11 5 9 44 0 385.88
PAL 2004 11 5 9 44 0 386.04
PAL 2004 11 12 9 45 0 385.24
PAL 2004 11 12 9 45 0 384.62
PAL 2004 11 19 10 14 0 383.48
PAL 2004 11 19 10 14 0 383.36
PAL 2004 11 26 11 34 0 380.81
PAL 2004 11 26 11 34 0 380.78
PAL 2004 12 3 11 13 0 386.22
PAL 2004 12 3 11 13 0 386.17
PAL 2004 12 10 11 4 0 386.53
PAL 2004 12 10 11 4 0 386.51
PAL 2004 12 17 9 13 0 386.99
PAL 2004 12 17 9 13 0 386.95
PAL 2004 12 23 12 0 0 382.54
PAL 2004 12 23 12 0 0 382.52
PAL 2004 12 31 12 17 0 382.03
PAL 2004 12 31 12 17 0 381.99
PAL 2005 1 7 8 41 0 387.26
PAL 2005 1 7 8 41 0 387.32
PAL 2005 1 14 10 54 0 384.64
PAL 2005 1 14 10 54 0 384.6
PAL 2005 1 21 10 50 0 391.45
PAL 2005 1 21 10 50 0 391.48
PAL 2005 1 29 10 2 0 390.75
PAL 2005 1 29 10 2 0 390.83
PAL 2005 2 5 13 20 0 383.37
PAL 2005 2 5 13 20 0 383.39
PAL 2005 2 11 10 8 0 422.57
PAL 2005 2 11 10 8 0 422.27
PAL 2005 2 18 13 15 0 392.37
PAL 2005 2 18 13 15 0 392.47
PAL 2005 2 28 8 17 0 383.96
PAL 2005 2 28 8 17 0 383.75
PAL 2005 3 4 9 30 0 386.77
PAL 2005 3 4 9 30 0 386.82
PAL 2005 3 11 11 0 0 384.95
PAL 2005 3 11 11 0 0 384.85
PAL 2005 3 18 12 37 0 384.3
PAL 2005 3 18 12 37 0 384.26
PAL 2005 3 24 11 9 0 388.9
PAL 2005 3 24 11 9 0 388.86
PAL 2005 4 1 10 35 0 384.79
PAL 2005 4 1 10 35 0 384.73
PAL 2005 4 8 8 14 0 386.74
PAL 2005 4 8 8 14 0 386.76
PAL 2005 4 18 6 40 0 386.21
PAL 2005 4 18 6 40 0 386.16
PAL 2005 4 22 7 10 0 386.46
PAL 2005 4 22 7 10 0 386.41
PAL 2005 4 29 7 52 0 385.71
PAL 2005 4 29 7 52 0 385.71
PAL 2005 5 6 9 20 0 387.3
PAL 2005 5 6 9 20 0 387.21
PAL 2005 5 13 4 50 0 385.5
PAL 2005 5 13 4 50 0 385.49
PAL 2005 5 23 5 31 0 382.53
PAL 2005 5 23 5 31 0 382.46
PAL 2005 6 3 9 49 0 382.55
PAL 2005 6 3 9 49 0 382.6
PAL 2005 6 17 7 4 0 374.69
PAL 2005 6 17 7 4 0 374.73
PAL 2005 7 1 4 59 0 372.76
PAL 2005 7 1 4 59 0 372.57
PAL 2005 7 8 5 30 0 371.57
PAL 2005 7 8 5 30 0 371.66
PAL 2005 7 15 10 25 0 370.06
PAL 2005 7 15 10 25 0 369.67
PAL 2005 7 22 7 12 0 375.38
PAL 2005 7 22 7 12 0 375.57
PAL 2005 7 29 7 40 0 370.54
PAL 2005 7 29 7 40 0 370.56
PAL 2005 8 5 10 38 0 372.87
PAL 2005 8 12 6 59 0 379.68
PAL 2005 8 12 6 59 0 379.75
PAL 2005 8 20 9 10 0 376.87
PAL 2005 8 20 9 10 0 376.56
PAL 2005 8 27 7 9 0 370.12
PAL 2005 8 27 7 9 0 370.17
PAL 2005 9 2 7 12 0 374.47
PAL 2005 9 2 7 12 0 374.89
PAL 2005 9 9 10 23 0 371.75
PAL 2005 9 9 10 23 0 371.84
PAL 2005 9 30 8 42 0 378.79
