sample_site_code	sample_year	sample_month	sample_day	sample_hour	sample_minute	sample_seconds	analysis_value
BAL	1992	8	31	12	36	0	376.59
BAL	1992	8	31	12	36	0	376.38
BAL	1992	8	31	12	38	0	375.68
BAL	1992	8	31	12	38	0	375.56
BAL	1992	8	31	12	40	0	375.48
BAL	1992	8	31	12	40	0	375.17
BAL	1992	9	3	11	11	0	353.97
BAL	1992	9	3	11	11	0	354.11
BAL	1992	9	3	11	15	0	354.08
BAL	1992	9	3	11	15	0	353.97
BAL	1992	9	3	11	20	0	353.78
BAL	1992	9	3	11	20	0	353.98
BAL	1992	9	7	14	20	0	344.81
BAL	1992	9	7	14	20	0	344.27
BAL	1992	9	10	12	34	56	352.06
BAL	1992	9	10	12	34	56	352.18
BAL	1992	9	14	13	5	0	351.7
BAL	1992	9	14	13	5	0	352.05
BAL	1992	9	17	11	10	0	350.66
BAL	1992	9	17	11	10	0	350.43
BAL	1992	9	21	12	33	0	358.75
BAL	1992	9	21	12	33	0	358.82
BAL	1992	9	24	11	5	0	358.94
BAL	1992	9	24	11	5	0	358.9
BAL	1992	9	28	13	35	0	350.54
BAL	1992	9	28	13	35	0	350.84
BAL	1992	10	1	12	5	0	357.44
BAL	1992	10	1	12	5	0	357.45
BAL	1992	10	5	13	40	0	352.46
BAL	1992	10	5	13	40	0	352.47
BAL	1992	10	5	13	40	0	352.43
BAL	1992	10	8	13	5	0	355.55
BAL	1992	10	8	13	5	0	355.51
BAL	1992	10	12	15	0	0	353.62
BAL	1992	10	12	15	0	0	353.72
BAL	1992	10	15	12	30	0	361.51
BAL	1992	10	15	12	32	0	361.6
BAL	1992	10	15	12	32	0	361.42
BAL	1992	10	19	13	43	0	362.72
BAL	1992	10	19	13	43	0	362.93
BAL	1992	10	22	12	59	0	359.79
BAL	1992	10	22	12	59	0	358.49
BAL	1992	10	26	13	58	0	364.53
BAL	1992	10	26	13	58	0	364.73
BAL	1992	10	29	12	33	0	363.67
BAL	1992	10	29	12	33	0	363.95
BAL	1992	11	2	15	15	0	364.46
BAL	1992	11	2	15	15	0	363.69
BAL	1992	11	5	12	23	0	360.39
BAL	1992	11	5	12	23	0	360.27
