sample_site_code	sample_year	sample_month	sample_day	sample_hour	sample_minute	sample_seconds	analysis_value
ICE	1992	10	2	16	18	0	351.92
ICE	1992	10	2	16	18	0	351.85
ICE	1992	10	8	10	15	0	350.27
ICE	1992	10	8	10	15	0	351.56
ICE	1992	10	15	10	55	0	351.54
ICE	1992	10	15	10	55	0	351.52
ICE	1992	10	21	18	45	0	352.55
ICE	1992	10	21	18	45	0	354.49
ICE	1992	10	27	21	25	0	353.72
ICE	1992	10	27	21	25	0	354.2
ICE	1992	11	3	15	20	0	351.83
ICE	1992	11	3	15	20	0	355.75
ICE	1992	11	10	13	59	0	356.26
ICE	1992	11	10	13	59	0	356.41
ICE	1992	11	18	11	12	0	346.79
ICE	1992	11	18	11	12	0	357.43
ICE	1992	11	24	14	47	0	358.13
ICE	1992	11	24	14	47	0	358.49
ICE	1992	12	2	14	30	0	357.93
ICE	1992	12	2	14	30	0	358.96
ICE	1992	12	8	21	30	0	366.08
ICE	1992	12	8	21	30	0	357.57
ICE	1992	12	16	13	55	0	361.57
ICE	1992	12	16	13	55	0	362.17
ICE	1992	12	22	8	35	0	351.46
ICE	1992	12	22	8	35	0	358.15
ICE	1992	12	31	11	20	0	359.62
ICE	1992	12	31	11	20	0	360.17
ICE	1993	1	6	13	18	0	357.43
ICE	1993	1	6	13	18	0	360.87
ICE	1993	1	16	1	20	0	360.06
ICE	1993	1	16	1	20	0	360.36
ICE	1993	1	22	14	55	0	360.16
ICE	1993	1	22	14	55	0	360.15
ICE	1993	1	27	22	55	0	361.28
ICE	1993	1	27	22	55	0	361.23
ICE	1993	2	3	18	43	0	357.93
ICE	1993	2	3	18	43	0	361.41
ICE	1993	2	14	10	34	0	360.79
ICE	1993	2	14	10	34	0	360.79
ICE	1993	2	20	16	24	0	360.13
ICE	1993	2	20	16	24	0	361.32
ICE	1993	3	1	15	45	0	361.37
ICE	1993	3	1	15	45	0	361.38
ICE	1993	3	6	17	0	0	361.95
ICE	1993	3	6	17	0	0	362.09
ICE	1993	3	11	10	35	0	366.85
ICE	1993	3	11	10	35	0	365.69
ICE	1993	3	17	12	16	0	361.8
