sample_site_code	sample_year	sample_month	sample_day	sample_hour	sample_minute	sample_seconds	analysis_value
PAL	2001	12	21	09	57	00	377.270
PAL	2001	12	21	09	57	00	377.240
PAL	2001	12	27	11	06	00	378.350
PAL	2001	12	27	11	06	00	378.240
PAL	2002	01	04	11	17	00	378.160
PAL	2002	01	04	11	17	00	378.140
PAL	2002	01	14	13	04	00	376.430
PAL	2002	01	14	13	04	00	376.360
PAL	2002	01	18	10	37	00	377.630
PAL	2002	01	18	10	37	00	377.640
PAL	2002	01	25	12	42	00	379.930
PAL	2002	01	25	12	42	00	379.910
PAL	2002	02	15	09	29	00	377.570
PAL	2002	02	15	09	29	00	377.520
PAL	2002	02	22	10	24	00	379.970
PAL	2002	02	22	10	24	00	379.990
PAL	2002	03	01	08	35	00	379.660
PAL	2002	03	01	08	35	00	379.640
PAL	2002	03	08	08	28	00	380.010
PAL	2002	03	08	08	28	00	379.960
PAL	2002	03	15	10	27	00	378.000
PAL	2002	03	22	07	36	00	378.790
PAL	2002	03	22	07	36	00	378.710
PAL	2002	03	28	08	20	00	379.920
PAL	2002	03	28	08	20	00	379.930
PAL	2002	04	05	09	06	00	381.900
PAL	2002	04	05	09	06	00	381.940
PAL	2002	04	15	09	47	00	378.490
PAL	2002	04	15	09	47	00	378.530
PAL	2002	04	19	07	22	00	379.970
PAL	2002	04	19	07	22	00	380.020
PAL	2002	04	26	06	17	00	378.210
PAL	2002	04	26	06	17	00	378.150
PAL	2002	05	03	10	25	00	378.450
PAL	2002	05	03	10	25	00	378.430
PAL	2002	05	17	05	23	00	377.420
PAL	2002	05	17	05	23	00	377.440
PAL	2002	05	24	11	39	00	378.420
PAL	2002	05	24	11	39	00	378.260
PAL	2002	05	31	15	37	00	373.130
PAL	2002	05	31	15	37	00	373.120
PAL	2002	06	07	07	55	00	370.990
PAL	2002	06	07	07	55	00	371.110
PAL	2002	06	17	10	34	00	371.850
PAL	2002	06	17	10	34	00	371.560
PAL	2002	06	20	09	54	00	369.750
PAL	2002	06	20	09	54	00	369.920
PAL	2002	07	09	12	57	00	361.880
PAL	2002	07	09	12	57	00	361.790
PAL	2002	07	12	07	00	00	371.130
PAL	2002	07	12	07	00	00	371.120
PAL	2002	07	26	11	09	00	363.980
PAL	2002	07	26	11	09	00	364.000
PAL	2002	08	02	07	30	00	365.220
PAL	2002	08	02	07	30	00	365.450
PAL	2002	08	09	10	30	00	362.710
PAL	2002	08	23	05	56	00	374.380
PAL	2002	08	23	05	56	00	374.020
PAL	2002	08	30	10	08	00	372.670
PAL	2002	08	30	10	08	00	372.560
PAL	2002	09	06	10	00	00	372.860
PAL	2002	09	06	10	00	00	372.750
PAL	2002	09	13	08	13	00	372.540
PAL	2002	09	13	08	13	00	372.630
PAL	2002	11	04	12	18	00	373.690
PAL	2002	11	04	12	18	00	373.640
PAL	2002	11	08	11	26	00	374.470
PAL	2002	11	08	11	26	00	374.510
PAL	2002	11	15	07	22	00	378.560
PAL	2002	11	15	07	22	00	378.630
PAL	2002	12	05	09	28	00	382.230
PAL	2002	12	05	09	28	00	382.140
PAL	2002	12	13	11	53	00	377.920
PAL	2002	12	13	11	53	00	377.980
PAL	2003	01	24	08	14	00	379.420
PAL	2003	01	24	08	14	00	379.260
PAL	2003	01	31	10	35	00	380.850
PAL	2003	01	31	10	35	00	380.870
PAL	2003	02	07	10	38	00	387.340
PAL	2003	02	07	10	38	00	387.410
PAL	2003	02	14	10	32	00	379.490
PAL	2003	02	14	10	32	00	379.400
PAL	2003	03	21	11	15	00	384.350
PAL	2003	03	21	11	15	00	384.320
PAL	2003	05	19	08	36	00	377.490
PAL	2003	05	19	08	36	00	377.410
PAL	2003	05	23	07	20	00	378.760
PAL	2003	05	23	07	20	00	378.740
PAL	2003	05	30	04	04	00	380.490
PAL	2003	05	30	04	04	00	380.540
PAL	2003	06	06	06	47	00	375.130
PAL	2003	06	06	06	47	00	375.110
PAL	2003	08	11	09	08	00	363.600
PAL	2003	08	11	09	08	00	363.430
PAL	2003	08	22	06	08	00	368.670
PAL	2003	08	22	06	08	00	368.680
PAL	2003	08	29	08	00	00	365.910
PAL	2003	08	29	08	00	00	365.850
PAL	2003	09	05	09	00	00	366.290
PAL	2003	09	05	09	00	00	366.280
PAL	2003	09	12	10	30	00	370.700
PAL	2003	09	12	10	30	00	370.930
PAL	2003	09	26	10	45	00	371.590
PAL	2003	09	26	10	45	00	371.590
PAL	2003	11	21	07	50	00	388.550
PAL	2003	11	21	07	50	00	388.510
PAL	2003	11	28	05	30	00	389.600
PAL	2003	11	28	05	30	00	389.660
PAL	2003	12	04	09	15	00	382.790
PAL	2003	12	04	09	15	00	382.740
PAL	2003	12	12	11	33	00	380.520
PAL	2003	12	12	11	33	00	380.410
PAL	2003	12	19	07	11	00	384.630
PAL	2003	12	19	07	11	00	384.650
PAL	2004	01	09	08	42	00	388.650
PAL	2004	01	09	08	42	00	388.440
PAL	2004	01	16	10	46	00	392.300
PAL	2004	01	16	10	46	00	392.410
PAL	2004	01	23	07	43	00	384.680
PAL	2004	01	23	07	43	00	384.620
PAL	2004	01	30	10	24	00	392.910
PAL	2004	01	30	10	24	00	392.750
PAL	2004	02	06	07	40	00	386.300
PAL	2004	02	06	07	40	00	386.280
PAL	2004	02	12	13	16	00	383.020
PAL	2004	02	12	13	16	00	382.450
PAL	2004	02	20	08	20	00	380.800
PAL	2004	02	20	08	20	00	380.900
PAL	2004	02	27	07	17	00	387.950
PAL	2004	02	27	07	17	00	387.940
PAL	2004	03	19	09	10	00	388.280
PAL	2004	03	19	09	10	00	388.340
PAL	2004	03	26	09	23	00	386.540
PAL	2004	03	26	09	23	00	386.500
PAL	2004	04	08	07	31	00	389.170
PAL	2004	04	08	07	31	00	389.110
PAL	2004	04	16	07	35	00	385.690
PAL	2004	04	16	07	35	00	385.790
PAL	2004	04	23	07	36	00	385.740
PAL	2004	04	23	07	36	00	385.600
PAL	2004	05	07	04	40	00	379.250
PAL	2004	05	07	04	40	00	379.170
PAL	2004	05	14	08	21	00	383.290
PAL	2004	05	14	08	21	00	383.360
PAL	2004	05	21	06	51	00	381.740
PAL	2004	05	21	06	51	00	381.720
PAL	2004	05	28	09	30	00	379.970
PAL	2004	05	28	09	30	00	379.990
PAL	2004	06	04	09	45	00	380.590
PAL	2004	06	04	09	45	00	382.310
PAL	2004	06	11	07	10	00	379.470
PAL	2004	06	11	07	10	00	379.510
PAL	2004	06	18	06	25	00	380.340
PAL	2004	06	18	06	25	00	380.340
PAL	2004	06	24	08	00	00	374.260
PAL	2004	06	24	08	00	00	374.350
PAL	2004	07	02	12	28	00	369.760
PAL	2004	07	02	12	28	00	369.730
PAL	2004	07	09	09	36	00	373.960
PAL	2004	07	09	09	36	00	373.910
PAL	2004	07	16	12	22	00	367.050
PAL	2004	07	16	12	22	00	366.800
PAL	2004	07	23	09	33	00	365.900
