sample_site_code	sample_year	sample_month	sample_day	sample_hour	sample_minute	sample_seconds	analysis_value
PSA	1978	1	27	13	25	0	331.39
PSA	1978	1	27	13	25	0	333.48
PSA	1978	1	30	16	15	0	332.33
PSA	1978	1	30	16	15	0	332.08
PSA	1978	2	8	1	45	0	331.67
PSA	1978	2	8	1	45	0	332.27
PSA	1978	2	17	14	55	0	331.71
PSA	1978	2	17	14	55	0	332.36
PSA	1978	2	24	13	15	0	332.86
PSA	1978	2	24	13	15	0	332.53
PSA	1978	3	2	15	35	0	335.18
PSA	1978	3	2	15	35	0	334.9
PSA	1978	3	8	13	40	0	333.05
PSA	1978	3	8	13	40	0	333.45
PSA	1978	3	16	13	45	0	335
PSA	1978	3	16	13	45	0	334.97
PSA	1978	3	21	18	5	0	333.05
PSA	1978	3	21	18	5	0	333.19
PSA	1978	3	31	22	10	0	337.94
PSA	1978	3	31	22	10	0	333.05
PSA	1978	4	4	17	30	0	335.28
PSA	1978	4	4	17	30	0	335.5
PSA	1978	4	13	19	20	0	332.86
PSA	1978	4	13	19	20	0	333.33
PSA	1978	4	18	16	0	0	335.47
PSA	1978	4	18	16	0	0	335.36
PSA	1978	5	4	16	15	0	336.28
PSA	1978	5	4	16	15	0	336.85
PSA	1978	5	11	19	30	0	335.71
PSA	1978	5	11	19	30	0	335.37
PSA	1978	5	18	18	30	0	333.11
PSA	1978	5	18	18	30	0	333.11
PSA	1978	5	22	17	0	0	333.5
PSA	1978	5	22	17	0	0	333.3
PSA	1978	6	3	14	40	0	336.2
PSA	1978	6	3	14	40	0	335.82
PSA	1978	6	8	17	5	0	-999.99
PSA	1978	6	8	17	5	0	336.81
PSA	1978	6	15	18	10	0	335.08
PSA	1978	6	15	18	10	0	336.62
PSA	1978	6	21	16	0	0	336.11
PSA	1978	6	21	16	0	0	335
PSA	1978	6	29	17	20	0	335.79
PSA	1978	6	29	17	20	0	334.55
PSA	1978	7	5	19	20	0	338.7
PSA	1978	7	5	19	20	0	334.64
PSA	1978	7	10	19	5	0	334.66
PSA	1978	7	10	19	5	0	334.83
PSA	1978	7	20	20	10	0	334.62
PSA	1978	7	20	20	10	0	334.98
PSA	1978	7	27	19	20	0	318.68
PSA	1978	7	27	19	20	0	334.74
PSA	1978	8	4	22	15	0	334.98
PSA	1978	8	4	22	15	0	335.01
PSA	1978	8	10	18	20	0	334.91
PSA	1978	8	10	18	20	0	334.66
PSA	1978	8	15	19	50	0	334.99
PSA	1978	8	15	19	50	0	335.33
PSA	1978	8	24	13	35	0	334.71
PSA	1978	8	24	13	35	0	335.25
PSA	1978	8	31	17	15	0	335.5
PSA	1978	8	31	17	15	0	334.6
PSA	1978	9	4	19	35	0	338.57
PSA	1978	9	4	19	35	0	338.57
PSA	1978	9	14	22	20	0	335.69
PSA	1978	9	14	22	20	0	334.89
PSA	1978	9	20	16	10	0	-999.99
PSA	1978	9	20	16	10	0	335.77
PSA	1978	9	26	14	35	0	335.25
PSA	1978	9	26	14	35	0	335.09
PSA	1978	10	5	20	0	0	334.72
PSA	1978	10	5	20	0	0	334.67
PSA	1978	10	14	16	15	0	340.43
PSA	1978	10	14	16	15	0	339.13
PSA	1978	10	18	22	5	0	334.86
PSA	1978	10	18	22	5	0	334.95
PSA	1978	10	27	20	45	0	335.23
PSA	1978	10	27	20	45	0	335.04
PSA	1978	11	3	21	35	0	334.95
PSA	1978	11	3	21	35	0	334.8
PSA	1978	11	7	21	40	0	346.93
PSA	1978	11	7	21	40	0	335.95
PSA	1978	11	16	18	30	0	336.49
PSA	1978	11	16	18	30	0	337.22
PSA	1978	11	22	19	0	0	334.62
PSA	1978	11	22	19	0	0	334.66
PSA	1978	11	30	19	0	0	334.65
PSA	1978	11	30	19	0	0	334.69
PSA	1978	12	5	22	0	0	334.5
PSA	1978	12	5	22	0	0	334.64
PSA	1978	12	12	16	50	0	334.89
PSA	1978	12	12	16	50	0	334.92
PSA	1978	12	26	11	45	0	333.75
PSA	1978	12	26	11	45	0	333.8
PSA	1978	12	30	18	45	0	334.63
PSA	1978	12	30	18	45	0	334.79
PSA	1979	1	11	14	30	0	333.99
PSA	1979	1	11	14	30	0	333.44
PSA	1979	1	23	12	30	0	335.18
PSA	1979	1	23	12	30	0	334.68
PSA	1979	1	29	17	45	0	334.44
PSA	1979	1	29	17	45	0	334.3
PSA	1979	2	8	17	30	0	334.02
PSA	1979	2	8	17	30	0	334.7
PSA	1979	2	14	18	10	0	333.85
PSA	1979	2	14	18	10	0	334.38
PSA	1979	2	26	20	0	0	334.85
PSA	1979	2	26	20	0	0	333.58
PSA	1979	3	5	18	0	0	333.81
PSA	1979	3	5	18	0	0	333.96
PSA	1979	3	14	18	15	0	334.09
PSA	1979	3	14	18	15	0	335.38
PSA	1979	3	20	16	30	0	336
PSA	1979	3	20	16	30	0	334.97
PSA	1979	3	28	16	15	0	334.02
PSA	1979	3	28	16	15	0	333.99
PSA	1979	4	4	14	15	0	334.18
PSA	1979	4	4	14	15	0	333.47
PSA	1979	4	12	16	30	0	334.02
PSA	1979	4	12	16	30	0	334.65
PSA	1979	4	18	17	0	0	334.5
PSA	1979	4	18	17	0	0	334.01
PSA	1979	4	27	16	45	0	333.88
PSA	1979	4	27	16	45	0	333.74
PSA	1979	5	2	17	0	0	334.27
PSA	1979	5	2	17	0	0	334.04
PSA	1979	5	12	16	30	0	339.7
PSA	1979	5	12	16	30	0	337.87
PSA	1979	5	23	18	0	0	349.25
PSA	1979	5	23	18	0	0	340.21
PSA	1979	6	7	17	45	0	340.38
PSA	1979	6	7	17	45	0	337.24
PSA	1979	6	13	17	45	0	338.32
PSA	1979	6	13	17	45	0	340.42
PSA	1979	6	22	16	30	0	346.83
PSA	1979	6	22	16	30	0	342.53
PSA	1979	6	30	17	0	0	339.06
PSA	1979	6	30	17	0	0	337.38
PSA	1979	7	7	14	15	0	338.73
PSA	1979	7	7	14	15	0	349.65
PSA	1979	7	13	18	30	0	339.44
PSA	1979	7	13	18	30	0	337.71
PSA	1979	7	31	19	15	0	335.25
PSA	1979	7	31	19	15	0	335.24
PSA	1979	8	6	17	30	0	335.53
PSA	1979	8	6	17	30	0	335.51
PSA	1979	8	14	17	30	0	335.68
PSA	1979	8	14	17	30	0	339.9
PSA	1979	8	29	20	45	0	337.32
PSA	1979	8	29	20	45	0	337.3
PSA	1979	9	5	13	30	0	-999.99
PSA	1979	9	5	13	30	0	336.54
PSA	1979	9	12	15	0	0	336.37
PSA	1979	9	12	15	0	0	336.96
PSA	1979	9	19	18	30	0	337.11
PSA	1979	9	19	18	30	0	337.12
PSA	1979	9	25	14	30	0	341.1
PSA	1979	9	25	14	30	0	341.08
PSA	1979	10	2	17	30	0	346.15
PSA	1979	10	2	17	30	0	342.79
PSA	1979	10	11	17	0	0	342.4
PSA	1979	10	11	17	0	0	340.51
PSA	1979	10	17	17	30	0	342.01
PSA	1979	10	17	17	30	0	342.66
PSA	1979	10	25	17	30	0	340.6
PSA	1979	10	25	17	30	0	341.64
PSA	1979	11	2	12	15	0	342.71
PSA	1979	11	2	12	15	0	342.7
PSA	1979	11	8	12	45	0	341.01
PSA	1979	11	8	12	45	0	346.14
PSA	1979	11	15	17	0	0	340.75
PSA	1979	11	15	17	0	0	337.11
PSA	1979	11	22	17	30	0	336.16
PSA	1979	11	22	17	30	0	335.71
PSA	1979	11	29	17	30	0	336.6
PSA	1979	11	29	17	30	0	336.21
PSA	1979	12	7	17	45	0	340.98
PSA	1979	12	7	17	45	0	335.38
PSA	1979	12	13	18	0	0	336.18
PSA	1980	2	11	20	0	0	-999.99
PSA	1980	2	11	20	0	0	353.41
PSA	1980	2	16	17	30	0	339.1
PSA	1980	2	16	17	30	0	337.96
PSA	1980	2	21	15	0	0	353.8
PSA	1980	2	21	15	0	0	344.93
PSA	1980	2	26	2	0	0	339.88
PSA	1980	2	26	2	0	0	361.31
PSA	1980	2	29	1	0	0	348.67
PSA	1980	2	29	1	0	0	339.17
PSA	1980	3	4	2	0	0	344.77
PSA	1980	3	4	2	0	0	347.15
