sample_site_code	sample_year	sample_month	sample_day	sample_hour	sample_minute	sample_seconds	analysis_value
STM	1981	3	8	15	0	0	360.41
STM	1981	3	8	15	0	0	346.88
STM	1981	3	12	15	0	0	345.4
STM	1981	3	12	15	0	0	349.09
STM	1981	3	12	15	10	0	348.77
STM	1981	3	12	15	10	0	351.19
STM	1981	3	16	17	55	0	344.94
STM	1981	3	16	17	55	0	345.09
STM	1981	3	20	15	0	0	351.83
STM	1981	3	20	15	0	0	347.64
STM	1981	3	23	15	0	0	355.24
STM	1981	3	23	15	0	0	355.9
STM	1981	3	27	15	0	0	351.07
STM	1981	3	27	15	0	0	346.25
STM	1981	3	31	15	0	0	346.63
STM	1981	3	31	15	0	0	346.55
STM	1981	4	3	15	15	0	346.52
STM	1981	4	3	15	15	0	351.2
STM	1981	4	7	11	15	0	346.84
STM	1981	4	7	11	15	0	345.76
STM	1981	4	10	9	30	0	345.2
STM	1981	4	10	9	30	0	345.16
STM	1981	4	14	9	45	0	345.28
STM	1981	4	14	9	45	0	345.3
STM	1981	4	14	10	0	0	345.36
STM	1981	4	14	10	0	0	345.03
STM	1981	4	21	14	0	0	347.06
STM	1981	4	21	14	0	0	349.82
STM	1981	4	24	8	15	0	347.29
STM	1981	4	24	8	15	0	347.21
STM	1981	4	28	14	30	0	345.75
STM	1981	4	28	14	30	0	345.64
STM	1981	5	1	9	0	0	346.79
STM	1981	5	1	9	0	0	346.73
STM	1981	5	6	15	20	0	347.58
STM	1981	5	6	15	20	0	346.07
STM	1981	5	12	15	0	0	350.29
STM	1981	5	12	15	0	0	348.8
STM	1981	5	15	18	15	0	346.25
STM	1981	5	15	18	15	0	344.84
STM	1981	5	19	16	0	0	347.68
STM	1981	5	19	16	0	0	346.51
STM	1981	5	22	16	0	0	349.14
STM	1981	5	22	16	0	0	349.2
STM	1981	5	26	15	5	0	346.53
STM	1981	5	26	15	5	0	346.69
STM	1981	5	29	15	10	0	346.59
STM	1981	5	29	15	10	0	347.11
STM	1981	6	2	7	30	0	346.4
STM	1981	6	2	7	30	0	346.25
STM	1981	6	5	7	30	0	347.59
STM	1981	6	5	7	30	0	346.67
STM	1981	6	9	7	45	0	348.12
STM	1981	6	9	7	45	0	346.35
STM	1981	6	12	8	30	0	346.7
STM	1981	6	12	8	30	0	346.34
STM	1981	6	16	7	40	0	346.48
STM	1981	6	16	7	40	0	346.58
STM	1981	6	19	7	45	0	-999.99
STM	1981	6	19	7	45	0	346.02
STM	1981	6	23	7	45	0	339.94
STM	1981	6	23	7	45	0	341.49
STM	1981	6	26	7	35	0	342.72
STM	1981	6	26	7	35	0	348.33
STM	1981	6	30	15	0	0	341.4
STM	1981	6	30	15	0	0	341.46
STM	1981	7	3	15	0	0	339.9
STM	1981	7	3	15	0	0	342.8
STM	1981	7	7	17	10	0	338.42
STM	1981	7	7	17	10	0	338.66
STM	1981	7	10	15	5	0	343.8
STM	1981	7	10	15	5	0	338.47
STM	1981	7	13	15	5	0	340.76
STM	1981	7	13	15	5	0	338.41
STM	1981	7	17	16	0	0	338.11
STM	1981	7	17	16	0	0	337.79
STM	1981	7	20	15	10	0	339.15
STM	1981	7	20	15	10	0	337.39
STM	1981	7	24	15	0	0	336.07
STM	1981	7	24	15	0	0	343.35
STM	1981	7	29	7	0	0	334.71
STM	1981	7	29	7	0	0	334.83
STM	1981	8	2	15	0	0	332.58
STM	1981	8	2	15	0	0	332.54
STM	1981	8	5	10	30	0	331.39
STM	1981	8	5	10	30	0	331.34
STM	1981	8	8	7	0	0	332.85
STM	1981	8	8	7	0	0	332.44
STM	1981	8	12	7	0	0	332.71
STM	1981	8	12	7	0	0	332.81
STM	1981	8	15	7	0	0	332.3
STM	1981	8	15	7	0	0	332.16
STM	1981	8	18	8	0	0	332.81
STM	1981	8	18	8	0	0	332.65
STM	1981	8	21	10	0	0	332.52
STM	1981	8	21	10	0	0	332.64
STM	1981	8	25	15	5	0	332.48
STM	1981	8	25	15	5	0	332.57
STM	1981	8	28	15	5	0	334.86
STM	1981	8	28	15	5	0	334.95
STM	1981	9	1	15	0	0	334.09
STM	1981	9	1	15	0	0	333.87
STM	1981	9	4	15	20	0	335.21
STM	1981	9	4	15	20	0	-999.99
STM	1981	9	9	1	0	0	337.78
STM	1981	9	9	1	0	0	333.54
STM	1981	9	13	13	0	0	361.78
STM	1981	9	13	13	0	0	342.55
STM	1981	9	15	19	50	0	334.52
STM	1981	9	15	19	50	0	334.83
STM	1981	9	18	17	30	0	343.38
STM	1981	9	18	17	30	0	337.76
STM	1981	9	22	8	30	0	338.87
STM	1981	9	22	8	30	0	338.61
STM	1981	9	26	7	0	0	335.97
STM	1981	9	26	7	0	0	336.12
STM	1981	9	29	9	0	0	337.25
STM	1981	9	29	9	0	0	337.36
STM	1981	10	3	8	0	0	335.41
STM	1981	10	3	8	0	0	335.28
STM	1981	10	6	14	0	0	338.23
STM	1981	10	6	14	0	0	337.35
STM	1981	10	10	15	0	0	340.41
STM	1981	10	10	15	0	0	340.61
STM	1981	10	13	10	0	0	339.66
STM	1981	10	13	10	0	0	339.66
STM	1981	10	16	12	15	0	339.32
STM	1981	10	16	12	15	0	339.25
STM	1981	10	22	16	30	0	344.85
STM	1981	10	22	16	30	0	340.08
STM	1981	10	24	10	30	0	342.76
STM	1981	10	24	10	30	0	342.84
STM	1981	10	28	8	35	0	340.38
STM	1981	10	28	8	35	0	340.17
STM	1981	10	30	19	20	0	347.39
STM	1981	10	30	19	20	0	358.06
STM	1981	11	3	10	15	0	343.05
STM	1981	11	3	10	15	0	342.99
STM	1981	11	7	8	30	0	341.69
STM	1981	11	7	8	30	0	341.37
STM	1981	11	10	8	20	0	361.03
STM	1981	11	10	8	20	0	341.73
STM	1981	11	13	21	0	0	342.78
