sample_site_code	sample_year	sample_month	sample_day	sample_hour	sample_minute	sample_seconds	analysis_value
TAC	2014	6	6	10	55	0	397.35
TAC	2014	6	6	10	55	0	397.31
TAC	2014	6	13	11	55	0	391.72
TAC	2014	6	20	8	35	0	394.99
TAC	2014	6	20	8	35	0	395.38
TAC	2014	6	27	9	28	0	401.62
TAC	2014	6	27	9	28	0	401.59
TAC	2014	7	4	8	15	0	399.91
TAC	2014	7	4	8	15	0	400.18
TAC	2014	7	11	9	50	0	393.45
TAC	2014	7	11	9	50	0	393.51
TAC	2014	7	15	12	53	0	392.09
TAC	2014	7	15	12	53	0	391.78
TAC	2014	7	24	8	21	0	388.93
TAC	2014	7	24	8	21	0	389.02
TAC	2014	8	1	9	1	0	392.78
TAC	2014	8	1	9	1	0	393.91
TAC	2014	8	7	12	6	0	392.03
TAC	2014	8	7	12	6	0	391.99
TAC	2014	8	15	9	40	0	388.47
TAC	2014	8	15	9	40	0	388.84
TAC	2014	8	21	8	40	0	480.12
TAC	2014	8	21	8	40	0	388.94
TAC	2014	8	29	11	20	0	390.03
TAC	2014	8	29	11	20	0	389.06
TAC	2014	9	12	11	32	0	391.2
TAC	2014	9	12	11	32	0	390.27
TAC	2014	10	9	11	47	0	392.39
TAC	2014	10	9	11	47	0	392.54
TAC	2014	10	23	11	43	0	399.27
TAC	2014	10	23	11	43	0	399.5
TAC	2014	10	31	11	42	0	403.38
TAC	2014	10	31	11	42	0	403.28
TAC	2014	11	21	9	42	0	431.96
TAC	2014	11	21	9	42	0	431.89
TAC	2014	11	28	12	9	0	442.96
TAC	2014	11	28	12	9	0	443.1
TAC	2014	12	3	11	23	0	401.85
TAC	2014	12	3	11	23	0	401.93
TAC	2014	12	11	12	3	0	403.63
TAC	2014	12	11	12	3	0	403.47
TAC	2014	12	18	12	23	0	401.78
TAC	2014	12	18	12	23	0	401.79
TAC	2015	1	9	9	32	0	406.73
TAC	2015	1	9	9	32	0	406.77
TAC	2015	1	15	15	32	0	403.52
TAC	2015	1	22	11	52	0	415.96
TAC	2015	1	22	11	52	0	416.59
TAC	2015	1	28	13	52	0	404.18
TAC	2015	1	28	13	52	0	404.41
TAC	2015	2	17	15	58	0	407.43
TAC	2015	2	17	15	58	0	406.94
TAC	2015	3	3	13	6	0	405.42
TAC	2015	3	3	13	6	0	405.34
TAC	2015	3	9	13	1	0	409.51
TAC	2015	3	9	13	1	0	409.49
TAC	2015	3	13	10	25	0	415.18
TAC	2015	3	13	10	25	0	414.77
TAC	2015	3	20	9	46	0	410.23
TAC	2015	3	20	9	46	0	410.13
TAC	2015	3	26	14	50	0	404.93
TAC	2015	3	26	14	50	0	405.03
TAC	2015	4	1	10	46	0	407.06
TAC	2015	4	1	10	46	0	406.7
TAC	2015	5	7	13	46	0	397.25
TAC	2015	5	7	13	46	0	398.06
TAC	2015	5	15	10	26	0	400.98
TAC	2015	5	15	10	26	0	401.26
TAC	2015	5	29	8	50	0	403.59
TAC	2015	5	29	8	50	0	403.46
TAC	2015	6	3	13	30	0	398.75
TAC	2015	6	3	13	30	0	399.75
TAC	2015	6	29	9	30	0	398.21
TAC	2015	7	6	10	42	0	396.5
TAC	2015	7	6	10	42	0	396.54
TAC	2015	7	28	12	40	0	395.54
TAC	2015	7	28	12	40	0	395.51
TAC	2015	8	3	13	52	0	392.1
TAC	2015	8	3	13	52	0	392.27
TAC	2015	8	14	10	46	0	412.71
TAC	2015	8	14	10	46	0	411.78
TAC	2015	8	20	9	29	0	398.01
TAC	2015	8	20	9	29	0	408.27
TAC	2015	8	28	9	15	0	393.21
TAC	2015	8	28	9	15	0	393.39
TAC	2015	9	14	8	48	0	403.53
TAC	2015	9	14	8	48	0	403.37
TAC	2015	9	18	9	3	0	399.22
TAC	2015	9	23	13	46	0	393.98
TAC	2015	9	23	13	46	0	394.05
TAC	2015	10	5	8	55	0	438.9
TAC	2015	10	5	8	55	0	408.36
TAC	2015	10	9	9	16	0	398.26
TAC	2015	10	9	9	16	0	398.07
TAC	2015	10	16	9	40	0	402.05
TAC	2015	10	16	9	40	0	402.21
TAC	2015	10	23	9	20	0	401.22
TAC	2015	10	23	9	20	0	401.37
TAC	2015	10	29	14	42	0	404.78
TAC	2015	10	29	14	42	0	404.85
TAC	2015	11	6	13	5	0	407.19
TAC	2015	11	6	13	5	0	407.22
TAC	2015	11	12	10	10	0	407.59
TAC	2015	11	12	10	10	0	408.02
TAC	2015	12	18	10	30	0	410.92
TAC	2015	12	18	10	30	0	410.93
TAC	2016	1	4	11	5	0	410.27
TAC	2016	1	4	11	5	0	410.25
