sample_site_code	sample_year	sample_month	sample_day	sample_hour	sample_minute	sample_seconds	analysis_value
ZEP	1994	2	11	14	30	0	362.97
ZEP	1994	2	11	14	30	0	362.82
ZEP	1994	2	14	14	30	0	363.09
ZEP	1994	2	14	14	30	0	362.95
ZEP	1994	2	17	9	45	0	362.89
ZEP	1994	2	17	9	45	0	362.88
ZEP	1994	2	19	14	0	0	362.23
ZEP	1994	2	19	14	0	0	362.2
ZEP	1994	2	21	14	0	0	362.71
ZEP	1994	2	21	14	0	0	362.6
ZEP	1994	2	22	15	0	0	364.27
ZEP	1994	2	22	15	0	0	364.13
ZEP	1994	2	23	8	0	0	365.1
ZEP	1994	2	23	8	0	0	364.96
ZEP	1994	2	23	17	15	0	364.12
ZEP	1994	2	23	17	15	0	364.11
ZEP	1994	4	22	8	55	0	364.39
ZEP	1994	4	28	7	40	0	365.12
ZEP	1994	4	28	7	40	0	365.11
ZEP	1994	5	5	12	34	56	364.09
ZEP	1994	5	12	12	34	56	363.19
ZEP	1994	5	12	12	34	56	363.33
ZEP	1994	5	16	12	45	0	363.94
ZEP	1994	5	16	12	45	0	363.93
ZEP	1994	5	18	7	30	0	363.26
ZEP	1994	5	18	7	30	0	363.22
ZEP	1994	5	21	7	45	0	363.5
ZEP	1994	5	21	7	45	0	363.46
ZEP	1994	5	23	7	30	0	362.92
ZEP	1994	5	23	7	30	0	362.92
ZEP	1994	5	26	16	15	0	362.97
ZEP	1994	5	26	16	15	0	362.95
ZEP	1994	5	28	7	25	0	363.05
ZEP	1994	5	29	9	30	0	363.4
ZEP	1994	5	29	9	30	0	363.44
ZEP	1994	5	31	8	0	0	363.64
ZEP	1994	5	31	8	0	0	363.59
ZEP	1994	6	2	7	20	0	363.87
ZEP	1994	6	2	7	20	0	363.85
ZEP	1994	6	5	16	10	0	363.25
ZEP	1994	6	5	16	10	0	363.28
ZEP	1994	6	7	10	9	0	363.43
ZEP	1994	6	7	10	9	0	363.43
ZEP	1994	6	9	9	38	0	-999.99
ZEP	1994	6	9	9	38	0	363.28
ZEP	1994	6	13	8	40	0	361.93
ZEP	1994	6	14	8	40	0	360.93
ZEP	1994	6	14	8	40	0	360.89
ZEP	1994	6	15	8	8	0	360.09
ZEP	1994	6	15	8	8	0	360.07
ZEP	1994	6	17	8	15	0	360.55
ZEP	1994	6	17	8	15	0	360.63
ZEP	1994	6	20	8	25	0	361.92
ZEP	1994	6	20	8	25	0	361.88
ZEP	1994	6	23	7	25	0	360.82
ZEP	1994	6	23	7	25	0	360.81
ZEP	1994	6	30	7	6	0	356.53
ZEP	1994	6	30	7	6	0	356.52
ZEP	1994	7	1	8	30	0	356.8
ZEP	1994	7	1	8	30	0	356.76
ZEP	1994	7	4	9	24	0	357.15
ZEP	1994	7	4	9	24	0	357.1
ZEP	1994	7	6	8	43	0	359.08
ZEP	1994	7	6	8	43	0	359.1
ZEP	1994	7	8	8	48	0	358.2
ZEP	1994	7	8	8	48	0	358.25
ZEP	1994	7	11	9	35	0	358
ZEP	1994	7	11	9	35	0	357.99
ZEP	1994	7	13	7	35	0	356.29
ZEP	1994	7	13	7	35	0	356.24
ZEP	1994	7	15	8	2	0	354.78
ZEP	1994	7	15	8	2	0	354.77
ZEP	1994	7	18	8	22	0	355.06
ZEP	1994	7	18	8	22	0	355.01
ZEP	1994	7	20	8	25	0	355.35
ZEP	1994	7	20	8	25	0	355.37
ZEP	1994	7	22	12	34	56	353.07
ZEP	1994	7	27	8	48	0	353.5
ZEP	1994	7	27	8	48	0	353.4
ZEP	1994	7	29	8	50	0	352.7
ZEP	1994	8	1	9	32	0	353.2
ZEP	1994	8	1	9	32	0	353.17
ZEP	1994	8	8	8	30	0	352.3
ZEP	1994	8	8	8	30	0	352.25
ZEP	1994	8	10	8	55	0	352.71
ZEP	1994	8	10	8	55	0	352.63
ZEP	1994	8	18	9	0	0	350.66
ZEP	1994	8	18	9	0	0	350.76
ZEP	1994	8	25	8	15	0	349.55
ZEP	1994	8	25	8	15	0	349.5
ZEP	1994	8	31	13	38	0	349.07
ZEP	1994	8	31	13	38	0	348.99
ZEP	1994	9	8	7	55	0	348.95
ZEP	1994	9	15	8	30	0	349.15
ZEP	1994	9	15	8	30	0	349.16
ZEP	1994	9	22	8	0	0	351.17
ZEP	1994	9	22	8	0	0	351.15
ZEP	1994	9	29	8	20	0	352.95
ZEP	1994	9	29	8	20	0	352.96
ZEP	1994	10	6	8	14	0	354.27
ZEP	1994	10	6	8	14	0	354.17
ZEP	1994	10	13	8	42	0	355.57
ZEP	1994	10	13	8	42	0	355.56
ZEP	1994	10	20	8	20	0	357.16
ZEP	1994	10	20	8	20	0	357.07
ZEP	1994	10	27	10	10	0	357.66
ZEP	1994	10	27	10	10	0	357.97
